filename,width,height,class,xmin,ymin,xmax,ymax
victim_and_mesh_0.png,512,288,person,183,129,231,203
victim_and_mesh_0.png,512,288,person,245,166,309,224
victim_and_mesh_0.png,512,288,person,432,112,512,151
victim_and_mesh_1.png,512,288,person,173,192,224,267
victim_and_mesh_1.png,512,288,person,243,227,314,288
victim_and_mesh_1.png,512,288,person,433,168,512,209
victim_and_mesh_10.png,512,288,person,280,40,332,92
victim_and_mesh_10.png,512,288,person,3,156,106,196
victim_and_mesh_1001.png,512,288,person,164,164,229,237
victim_and_mesh_1001.png,512,288,person,392,3,457,71
victim_and_mesh_1001.png,512,288,person,2,1,106,65
victim_and_mesh_1002.png,512,288,person,88,1,160,54
victim_and_mesh_1002.png,512,288,person,338,63,415,119
victim_and_mesh_1013.png,512,288,person,367,59,429,117
victim_and_mesh_1013.png,512,288,person,107,1,172,57
victim_and_mesh_102.png,512,288,person,327,36,398,109
victim_and_mesh_102.png,512,288,person,355,5,425,54
victim_and_mesh_102.png,512,288,person,1,5,95,58
victim_and_mesh_1024.png,512,288,person,388,53,445,106
victim_and_mesh_1024.png,512,288,person,118,2,196,61
victim_and_mesh_1035.png,512,288,person,395,44,466,109
victim_and_mesh_1035.png,512,288,person,138,1,193,60
victim_and_mesh_1039.png,512,288,person,163,131,222,226
victim_and_mesh_1039.png,512,288,person,247,173,329,255
victim_and_mesh_1040.png,512,288,person,158,176,216,269
victim_and_mesh_1040.png,512,288,person,236,215,305,288
victim_and_mesh_1041.png,512,288,person,130,159,208,258
victim_and_mesh_1041.png,512,288,person,232,205,318,288
victim_and_mesh_1042.png,512,288,person,130,138,198,231
victim_and_mesh_1042.png,512,288,person,224,176,311,265
victim_and_mesh_1043.png,512,288,person,139,104,193,212
victim_and_mesh_1043.png,512,288,person,223,148,303,229
victim_and_mesh_1044.png,512,288,person,138,77,197,180
victim_and_mesh_1044.png,512,288,person,224,121,305,200
victim_and_mesh_1045.png,512,288,person,160,45,213,152
victim_and_mesh_1045.png,512,288,person,238,99,311,171
victim_and_mesh_1046.png,512,288,person,152,1,210,65
victim_and_mesh_1046.png,512,288,person,414,43,487,115
victim_and_mesh_1047.png,512,288,person,185,30,236,136
victim_and_mesh_1047.png,512,288,person,256,71,350,153
victim_and_mesh_1048.png,512,288,person,212,14,265,128
victim_and_mesh_1048.png,512,288,person,289,56,376,136
victim_and_mesh_1049.png,512,288,person,232,10,280,113
victim_and_mesh_1049.png,512,288,person,301,54,396,123
victim_and_mesh_1050.png,512,288,person,260,15,298,105
